Product_Title,Price,Shop_Name,Category,Availability,G-Price
VIEWSONIC TD2223 22" 1080P 10-POINT MULTI IR TOUCH MONITOR,27500,COMPUTER VILLAGE,Monitor,In Stock,27500
ASUS MB168B HD 15.6 INCH PORTABLE USB MONITOR,23000,COMPUTER VILLAGE,Monitor,In Stock,23000
HP P24V G4 FHD 23.8 INCH MONITOR,19700,COMPUTER VILLAGE,Monitor,In Stock,19700
HP M32F 31.5 INCH FREESYNC FULL HD MONITOR,40000,COMPUTER VILLAGE,Monitor,In Stock,40000
ACER HA220Q BI IPS 21.5 INCH FULL HD MONITOR,14000,COMPUTER VILLAGE,Monitor,In Stock,14000
ASUS ROG SWIFT 360HZ PG259QNR GAMING MONITOR,97000,COMPUTER VILLAGE,Monitor,In Stock,97000
ASUS VP32AQ EYE CARE MONITOR,43000,COMPUTER VILLAGE,Monitor,In Stock,43000
ASUS TUF VG27VQ FULL HD CURVED GAMING MONITOR,35300,COMPUTER VILLAGE,Monitor,In Stock,35300
MSI OPTIX G241V E2 24" FHD FREESYNC IPS ESPORTS GAMING MONITOR,18500,STARTECH,Monitor,In Stock,18500
ASUS VA229QSB 21.5" IPS FULL HD EYE CARE MONITOR,17999,STARTECH,Monitor,In Stock,17999
BENQ GW2480 24 INCH FULL HD EYE-CARE BUSINESS IPS MONITOR,20200,STARTECH,Monitor,In Stock,20200
LG 24MP400-B 24" FULL HD IPS MONITOR,20500,STARTECH,Monitor,In Stock,20500
PHILIPS 241V8 24" IPS FHD MONITOR,19700,STARTECH,Monitor,In Stock,19700
VIEWSONIC VA2432-H 24" 75HZ FULL HD IPS MONITOR,21000,STARTECH,Monitor,In Stock,21000
LENOVO L24I-30 23.8" FHD IPS FREESYNC MONITOR,21000,STARTECH,Monitor,In Stock,21000
HP E22 G4 21.5" FHD IPS MONITOR,21300,STARTECH,Monitor,In Stock,21300
LG 24MP500-B 23.8" FREESYNC FULL HD IPS MONITOR,21500,STARTECH,Monitor,In Stock,21500
VIEWSONIC VX2476-SH 24 INCH FULL HD IPS MONITOR,21700,STARTECH,Monitor,In Stock,21700
DELL S2421HN 24'' IPS AMD FREESYNC FULL HD MONITOR,21800,STARTECH,Monitor,In Stock,21800
HP M24F 24" FHD IPS MONITOR,21800,STARTECH,Monitor,In Stock,21800
AOC G2490VX 23.8" FHD 144HZ GAMING MONITOR,21800,STARTECH,Monitor,In Stock,21800
HP M24FW 24" FHD IPS MONITOR,22000,STARTECH,Monitor,In Stock,22000
PHILIPS 246E9QJAB/00 24" FULL HD IPS FREESYNC MONITOR,21800,STARTECH,Monitor,In Stock,21800
ASUS VZ24EHE IPS FHD 23.8 INCH ULTRA SLIM MONITOR,21500,STARTECH,Monitor,In Stock,21500
VIEWSONIC VA2732-H 27" FULL HD IPS MONITOR,23000,STARTECH,Monitor,In Stock,23000
LENOVO D27-30 27-INCH FHD FREESYNC MONITOR,23000,STARTECH,Monitor,In Stock,23000
ASUS VY249HE 24" FHD IPS EYE CARE MONITOR,22500,STARTECH,Monitor,In Stock,22500
BENQ EW2480 23.8" EYE-CARE IPS MONITOR,23999,STARTECH,Monitor,In Stock,23999
VIEWSONIC VX2480-2K-SHD 24 INCH 75HZ QHD IPS SUPERCLEAR MONITOR,28500,TECHLAND,Monitor,In Stock,28500
