Product_Title,Price,Shop_Name,Category,Availability,G-Price
CORSAIR K63 MECHANICAL WIRED KEYBOARD & REDRAGON M686 WIRELESS MOUSE COMBO,11250,STARTECH,Keyboard,In Stock,11250
A4TECH KRS-83 WIRED MULTIMEDIA KEYBOARD,750,STARTECH,Keyboard,In Stock,750
RAPOO V500 PRO USB KEYBOARD & A4TECH BLOODY A70 MOUSE COMBO,5150,STARTECH,Keyboard,In Stock,5150
A4TECH KRS-83 USB KEYBOARD AND OP-330 USB MOUSE COMBO,1100,STARTECH,Keyboard,In Stock,1100
MICROPACK K-206 KEYBOARD & NEWMEN G7 USB MOUSE COMBO,1690,STARTECH,Keyboard,In Stock,1690
REDRAGON K502 KARURA 2 KEYBOARD & FANTECH W188 WIRELESS MOUSE COMBO,2650,STARTECH,Keyboard,In Stock,2650
HAVIT KB510L KEYBOARD & A4TECH FB35C WIRELESS MOUSE COMBO,2300,STARTECH,Keyboard,In Stock,2300
A4TECH KRS85 WIRED KEYBOARD & FG12 WIRELESS MOUSE COMBO,1400,STARTECH,Keyboard,In Stock,1400
HAVIT HV-KB858L KEYBOARD & A4TECH FG10 WIRELESS MOUSE COMBO,3000,STARTECH,Keyboard,In Stock,3000
FANTECH K612 GAMING KEYBOARD & VX7 SPACE EDITION USB MOUSE COMBO,3130,STARTECH,Keyboard,In Stock,3130
HAVIT HV-KB419L WIRED KEYBOARD & A4TECH FG20 WIRELESS MOUSE COMBO,1900,STARTECH,Keyboard,In Stock,1900
GIGABYTE KM6300 USB MULTIMEDIA KEYBOARD MOUSE COMBO BLACK,TBA,STARTECH,Keyboard,Up Coming,null
FANTECH KM100 USB KEYBOARD MOUSE COMBO BLACK,750,STARTECH,Keyboard,In Stock,750
HAVIT HV-KB275L USB GAMING KEYBOARD,800,STARTECH,Keyboard,In Stock,800
A4TECH FK11 USB MINI KEYBOARD WITH BANGLA BLACK,780,STARTECH,Keyboard,In Stock,780
HAVIT KB510L MULTI FUNCTION BACKLIT GAMING KEYBOARD,900,STARTECH,Keyboard,In Stock,900
SUNTECH ST-03 WIRELESS KEYBOARD AND MOUSE COMBO,900,STARTECH,Keyboard,In Stock,900
